Competition Title,Competition Date,Category,Rank,FIRST,LAST,Country,Qualification,Semi-final,Final,Semi-Final
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,1,MEJDI,SCHALCK,FRA,4T4Z 6 6,1T4Z 2 9,2T3Z 7 7,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,2,HANNES,VAN DUYSEN,BEL,3T5Z 9 15,1T4Z 8 14,1T3Z 2 11,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,3,PAUL,JENFT,FRA,4T5Z 10 9,2T4Z 11 13,1T3Z 3 3,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,4,KOKORO,FUJII,JPN,4T5Z 8 17,1T2Z 3 4,0T3Z 0 9,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,5,SORATO,ANRAKU,JPN,3T5Z 4 17,1T4Z 1 12,0T3Z 0 11,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,6,JONGWON,CHON,KOR,3T4Z 3 10,2T2Z 6 5,0T3Z 0 13,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,7,DOHYUN,LEE,KOR,5T5Z 10 10,1T2Z 5 5,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,8,MEICHI,NARASAKI,JPN,3T4Z 5 10,0T4Z 0 10,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,9,EDVARDS,GRUZITIS,LAT,4T5Z 18 12,0T4Z 0 11,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,10,TOMOA,NARASAKI,JPN,5T5Z 20 13,0T4Z 0 12,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,11,YANNICK,FLOHï¿,GER,4T5Z 12 14,0T3Z 0 9,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,12,LEO,AVEZOU,FRA,4T5Z 13 10,0T3Z 0 14,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,13,YOSHIYUKI,OGATA,JPN,5T5Z 14 11,0T2Z 0 2,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,14,MATHIEU,TERNANT,FRA,3T4Z 8 6,0T2Z 0 4,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,15,MICKAEL,MAWEM,FRA,3T5Z 13 17,0T2Z 0 5,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,16,YUJI,INOUE,JPN,4T5Z 18 17,0T2Z 0 6,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,16,RITSU,KAYOTANI,JPN,3T5Z 5 10,0T2Z 0 6,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,18,NICOLAI,UZNIK,AUT,4T5Z 9 10,0T2Z 0 7,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,19,ANZE,PEHARC,SLO,3T5Z 5 10,0T2Z 0 8,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,20,JAMES,POPE,GBR,4T4Z 11 9,0T1Z 0 5,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,21,DAIKI,SANO,JPN,2T5Z 4 12,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,21,STEFAN,SCHERZ,AUT,4T4Z 18 7,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,23,SAM,AVEZOU,FRA,2T5Z 4 18,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,23,TOMOAKI,TAKATA,JPN,4T4Z 20 11,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,25,MAXIMILLIAN,MILNE,GBR,2T4Z 6 10,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,25,TOBY,ROBERTS,GBR,3T5Z 5 12,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,27,COLIN,DUFFY,USA,2T4Z 9 8,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,27,JAKOB,SCHUBERT,AUT,3T5Z 5 16,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,29,SUNGSU,LEE,KOR,2T3Z 7 7,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,29,HANNES,PUMAN,SWE,3T5Z 6 13,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,31,HUGO,HOYER,USA,3T5Z 7 7,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,31,ALEX,KHAZANOV,ISR,1T5Z 2 16,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,33,MAX,KLEESATTEL,GER,1T5Z 3 20,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,33,SIMON,LORENZI,BEL,3T5Z 8 15,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,35,NICOLAS,COLLIN,BEL,3T5Z 8 17,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,35,JUNTA,SEKIGUCHI,JPN,1T5Z 3 23,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,37,ZAN,LOVENJAK SUDAR,SLO,3T5Z 9 10,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,37,NIMROD,MARCUS,ISR,1T5Z 6 22,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,39,SEAN,BAILEY,USA,1T4Z 2 7,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,39,HAMISH,MCARTHUR,GBR,3T4Z 6 7,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,41,JERNEJ,KRUDER,SLO,3T4Z 7 7,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,41,MICHAEL,PICCOLRUAZ,ITA,1T4Z 2 22,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,43,KATSURA,KONISHI,JPN,3T4Z 8 10,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,43,RAM,LEVIN,ISR,1T4Z 3 28,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,45,MANUEL,CORNU,FRA,1T4Z 4 18,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,45,REI,SUGIMOTO,JPN,3T4Z 11 10,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,47,DILLON,COUNTRYMAN,USA,3T4Z 12 11,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,47,GEVA,LEVIN,ISR,1T3Z 2 7,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,49,OSCAR,BAUDRAND,CAN,1T3Z 5 16,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,49,SLAV,KIROV,BUL,3T4Z 12 14,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,51,ELIAS,ARRIAGADA KRï¿½ï¿,GER,3T3Z 7 5,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,51,JAN-LUCA,POSCH,AUT,0T4Z 0 15,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,53,ALBERTO,GINï¿½ï¿½S Lï,ESP,3T3Z 17 13,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,53,LUKE,GOH WEN BIN,SGP,0T4Z 0 16,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,53,KA-CHUN,YAU,HKG,0T4Z 0 16,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,56,ZACH,GALLA,USA,2T4Z 2 10,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,57,VICTOR,BAUDRAND,CAN,2T4Z 2 12,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,57,DYLAN,PARKS,AUS,0T4Z 0 17,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,59,NILS,FAVRE,SUI,0T4Z 0 18,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,59,AXEL,LINDFORS,FIN,2T4Z 4 15,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,61,JESSE,GRUPPER,USA,2T4Z 5 11,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,61,ARDCH,INTRACHUPONGSE,THA,0T4Z 0 22,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,63,NATHAN,MARTIN,LUX,0T3Z 0 5,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,63,YUFEI,PAN,CHN,2T4Z 6 13,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,65,SASCHA,LEHMANN,SUI,2T3Z 5 8,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,65,LUKA,POTOCAR,SLO,0T3Z 0 9,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,65,FILIP,SCHENK,ITA,0T3Z 0 9,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,68,THILO JELDRIK,SCHRï¿½ï¿,NOR,1T3Z 2 5,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,69,HOSSEIN,FAMILROHANI,IRI,1T3Z 3 14,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,69,FELIPE,HO FOGANHOLO,BRA,0T3Z 0 10,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,71,CHEUNG-CHI SHOJI,CHAN,HKG,0T3Z 0 11,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,71,JINBIN,HUANG,CHN,1T2Z 3 9,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,73,ANTON YOUNG HONG,NIELSEN,DEN,0T4Z 0 17,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Men,73,CHRISTIAN,WAGNER,CHI,0T3Z 0 16,,,
